지점,지점명,일시,평균기온(°C),일강수량(mm)
108,서울,2018-01-01,-1.3,
108,서울,2018-01-02,-1.8,
108,서울,2018-01-03,-4.7,
108,서울,2018-01-04,-4.7,
108,서울,2018-01-05,-3,
108,서울,2018-01-06,-2.8,
108,서울,2018-01-07,-.8,
108,서울,2018-01-08,1.3,.9
108,서울,2018-01-09,-4.2,.5
108,서울,2018-01-10,-7.5,.3
108,서울,2018-01-11,-11.1,
108,서울,2018-01-12,-10.2,0
108,서울,2018-01-13,-4.4,.4
108,서울,2018-01-14,.6,
108,서울,2018-01-15,4.7,.2
108,서울,2018-01-16,3.5,0
108,서울,2018-01-17,4.5,
108,서울,2018-01-18,2.1,0
108,서울,2018-01-19,1,
108,서울,2018-01-20,2.2,
108,서울,2018-01-21,.4,
108,서울,2018-01-22,.2,3.3
108,서울,2018-01-23,-11.7,
108,서울,2018-01-24,-14.2,
108,서울,2018-01-25,-14,
108,서울,2018-01-26,-14.8,
108,서울,2018-01-27,-9.9,
108,서울,2018-01-28,-6.3,
108,서울,2018-01-29,-8.5,
108,서울,2018-01-30,-5.3,2.9
108,서울,2018-01-31,-2.6,0
108,서울,2018-02-01,-4,
108,서울,2018-02-02,-2.4,
108,서울,2018-02-03,-7.3,.5
108,서울,2018-02-04,-9.5,
108,서울,2018-02-05,-9.4,
108,서울,2018-02-06,-10.1,
108,서울,2018-02-07,-8,
108,서울,2018-02-08,-4.4,
108,서울,2018-02-09,.4,
108,서울,2018-02-10,-.5,
108,서울,2018-02-11,-6.1,0
108,서울,2018-02-12,-5.8,0
108,서울,2018-02-13,-.8,
108,서울,2018-02-14,3.5,
108,서울,2018-02-15,-.7,
108,서울,2018-02-16,-1.1,
108,서울,2018-02-17,-3,
108,서울,2018-02-18,-.4,
108,서울,2018-02-19,1.8,
108,서울,2018-02-20,.9,
108,서울,2018-02-21,-.9,
108,서울,2018-02-22,1.3,.4
108,서울,2018-02-23,4.2,3.7
108,서울,2018-02-24,2.4,
108,서울,2018-02-25,1.9,
108,서울,2018-02-26,3.1,
108,서울,2018-02-27,4.2,
108,서울,2018-02-28,4.6,25
108,서울,2018-03-01,-.2,.5
108,서울,2018-03-02,-.7,
108,서울,2018-03-03,7.9,0
108,서울,2018-03-04,9.8,11.5
108,서울,2018-03-05,5.5,3.5
108,서울,2018-03-06,4.5,
108,서울,2018-03-07,6.4,.5
108,서울,2018-03-08,4.6,4
108,서울,2018-03-09,4.5,
108,서울,2018-03-10,4.6,
108,서울,2018-03-11,6.4,
108,서울,2018-03-12,8,
108,서울,2018-03-13,12.4,
108,서울,2018-03-14,17,
108,서울,2018-03-15,12.4,27
108,서울,2018-03-16,7.1,
108,서울,2018-03-17,6.6,
108,서울,2018-03-18,8.2,.5
108,서울,2018-03-19,8,1
108,서울,2018-03-20,4.7,
108,서울,2018-03-21,2.1,1
108,서울,2018-03-22,4.9,
108,서울,2018-03-23,6.1,
108,서울,2018-03-24,7.6,
108,서울,2018-03-25,9.6,
108,서울,2018-03-26,11,
