step,depth,learning_rate,iterations,l2_leaf_reg,MAE,RMSE,MAPE,R2,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20
1,5,0.1,500,6.0,3589.75,4711.098972915841,222.1999498906803,0.7206014353777972,1.0,0.35714285714285715,0.9813239857424131,0.9,0.6428571428571429,0.9596746577385664,0.5,0.7142857142857143,0.88416477288278
2,8,0.1,450,2.0,3379.5760869565215,4558.248327506674,201.24811552582872,0.7384373812449638,1.0,0.35714285714285715,0.9623803236201094,0.8,0.5714285714285714,0.9320861766673803,0.6,0.8571428571428571,0.8932259418201681
3,4,0.08,500,3.0,3505.5760869565215,4595.777358903355,211.22948397211604,0.7341126492759629,1.0,0.35714285714285715,0.9800318934030322,0.9,0.6428571428571429,0.9419047744874771,0.55,0.7857142857142857,0.891995733929952
4,5,0.02,350,5.0,3593.804347826087,4650.57666830965,220.6982833346614,0.7277340500251777,1.0,0.35714285714285715,0.944895762900461,0.9,0.6428571428571429,0.9466134248241518,0.5,0.7142857142857143,0.8749886153906141
5,5,0.02,450,10.0,3710.608695652174,4675.592115490271,267.26290511559836,0.724797135845519,1.0,0.35714285714285715,0.9835922217891967,0.9,0.6428571428571429,0.9597932114091181,0.55,0.7857142857142857,0.908056633692518
6,6,0.05,250,12.0,3810.021739130435,5020.823789154438,234.4872536453879,0.6826564515833492,1.0,0.35714285714285715,0.9627440153286655,0.8,0.5714285714285714,0.9234645985731533,0.55,0.7857142857142857,0.8854813350251218
7,5,0.04,800,6.0,3178.586956521739,4531.170863177016,167.91242530461417,0.7415356839027585,1.0,0.35714285714285715,0.9919396253719478,0.9,0.6428571428571429,0.9439372714285975,0.5,0.7142857142857143,0.8641254020099456
8,4,0.02,250,5.0,3263.663043478261,4276.097289890478,224.08818112023155,0.7698161393831877,1.0,0.35714285714285715,0.9796314576246343,0.9,0.6428571428571429,0.9603674260609504,0.55,0.7857142857142857,0.9137851496022809
9,8,0.04,450,12.0,3258.163043478261,4411.086468995652,215.184057053319,0.7550537152477799,1.0,0.35714285714285715,0.9790222167841369,1.0,0.7142857142857143,0.9659246058413768,0.55,0.7857142857142857,0.8977701763416127
10,8,0.05,500,5.0,3120.0978260869565,4626.59104830553,156.39615559548577,0.730535262626195,1.0,0.35714285714285715,0.9466085288758104,0.9,0.6428571428571429,0.9406612349692721,0.55,0.7857142857142857,0.8791885777784023
11,5,0.08,500,2.0,3082.978260869565,4542.058501911068,175.35192960591215,0.7402920993868352,1.0,0.35714285714285715,0.9760356094477601,0.9,0.6428571428571429,0.954419927927195,0.55,0.7857142857142857,0.895887856076771
12,4,0.06,500,2.0,3225.1521739130435,4475.842259819107,188.8294481726199,0.7478091884535059,1.0,0.35714285714285715,0.9910303519447646,0.9,0.6428571428571429,0.9629526860363395,0.55,0.7857142857142857,0.8938376065097781
13,5,0.08,450,6.0,3713.141304347826,5052.138558162233,208.06671630514575,0.6786855773030356,1.0,0.35714285714285715,0.9706279321643437,0.9,0.6428571428571429,0.958884205459797,0.5,0.7142857142857143,0.8730242017746566
14,6,0.1,650,2.0,3145.5108695652175,4328.891223888731,197.15930350312013,0.7640972192124686,1.0,0.35714285714285715,0.942694921015706,0.9,0.6428571428571429,0.9442781323335592,0.65,0.9285714285714286,0.9350952562176473
15,8,0.05,500,12.0,3334.271739130435,4658.332913458279,195.2406571494629,0.7268251208298178,1.0,0.35714285714285715,0.9716814758092279,0.9,0.6428571428571429,0.9489416117906474,0.55,0.7857142857142857,0.8746837783627539
16,5,0.05,650,12.0,3118.695652173913,4372.827485436775,188.27080797658488,0.7592843079402428,1.0,0.35714285714285715,0.9715645365624784,0.9,0.6428571428571429,0.9604111212533538,0.5,0.7142857142857143,0.8862778899793652
17,5,0.03,250,5.0,3395.9239130434785,4554.834351257058,222.45440885117546,0.7388290379087596,1.0,0.35714285714285715,0.9712425382722156,0.9,0.6428571428571429,0.9518090390078731,0.55,0.7857142857142857,0.8971160212155583
18,7,0.03,650,1.5,3292.413043478261,4653.092734945221,177.7053656201194,0.7274393663192904,1.0,0.35714285714285715,0.9627440153286655,0.9,0.6428571428571429,0.9481066045997597,0.55,0.7857142857142857,0.8833362001301989
19,5,0.06,650,6.0,3021.478260869565,4438.786565483076,178.83614727657294,0.7519677002227578,1.0,0.35714285714285715,0.9860581469375251,0.9,0.6428571428571429,0.9615466578304086,0.55,0.7857142857142857,0.9058779972484428
20,8,0.06,500,6.0,3137.608695652174,4566.054049938143,192.12906112744673,0.7375407941420407,1.0,0.35714285714285715,0.9434255761404018,0.9,0.6428571428571429,0.9311374155276372,0.55,0.7857142857142857,0.8823948220175291
21,4,0.02,500,2.0,3812.608695652174,4893.726678549572,262.91397051716746,0.6985195646438672,1.0,0.35714285714285715,0.9808431360154806,0.9,0.6428571428571429,0.9441723864700933,0.5,0.7142857142857143,0.877665508544625
22,8,0.08,800,5.0,3420.0760869565215,4797.511992191097,194.07521940054207,0.7102577340237682,1.0,0.35714285714285715,0.9796314576246343,1.0,0.7142857142857143,0.9658075510102125,0.55,0.7857142857142857,0.903990767183275
23,5,0.08,650,3.0,3539.891304347826,4907.176999935467,185.29938899076325,0.6968600599049217,1.0,0.35714285714285715,0.9597210798413699,0.9,0.6428571428571429,0.9510118030681818,0.55,0.7857142857142857,0.8701111785555358
24,6,0.1,650,3.0,3400.7934782608695,4675.590484680494,181.55267584756947,0.7247973278226769,1.0,0.35714285714285715,0.9379806188575527,0.9,0.6428571428571429,0.9353335152793516,0.55,0.7857142857142857,0.8732129442901786
25,7,0.1,450,3.0,3096.228260869565,4395.671389832423,165.84856809881174,0.756762713148467,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.9614793467204557,0.6,0.8571428571428571,0.9264212859404722
26,5,0.04,350,6.0,3353.413043478261,4512.157815521739,197.12395760161752,0.7437001947496611,1.0,0.35714285714285715,0.9785158100729645,0.9,0.6428571428571429,0.9595741220921649,0.55,0.7857142857142857,0.9032291288564488
27,8,0.05,800,5.0,3190.0760869565215,4614.879741944387,185.03753919023578,0.7318977301260271,1.0,0.35714285714285715,0.9240526202681434,0.9,0.6428571428571429,0.9465508347952928,0.6,0.8571428571428571,0.8890419104327643
28,6,0.03,250,2.0,3166.717391304348,4649.788335528553,181.5725982636477,0.7278263473882995,1.0,0.35714285714285715,0.9790222167841369,0.9,0.6428571428571429,0.9316671959846151,0.55,0.7857142857142857,0.8818444275479341
29,8,0.03,250,2.0,3413.978260869565,4699.08623864905,189.39100372917568,0.7220244840543651,1.0,0.35714285714285715,0.9651671387734292,0.9,0.6428571428571429,0.9490177341068357,0.6,0.8571428571428571,0.8944236579597189
30,8,0.02,500,3.0,3204.3152173913045,4699.837102866254,173.25476621618282,0.7219356418695856,1.0,0.35714285714285715,0.9809389335177282,0.9,0.6428571428571429,0.9427047716001472,0.55,0.7857142857142857,0.8967599719300443
31,5,0.03,250,10.0,3337.4239130434785,4459.855436095386,231.16120099859546,0.7496075225072834,1.0,0.35714285714285715,0.9852525864468431,0.9,0.6428571428571429,0.9609738475971066,0.5,0.7142857142857143,0.8816347789605444
32,6,0.05,500,1.5,3352.6521739130435,4593.294732542208,193.04815637474732,0.7343998349260257,1.0,0.35714285714285715,0.9664453231426816,0.9,0.6428571428571429,0.9590097977189753,0.55,0.7857142857142857,0.8848349277354596
33,4,0.1,650,12.0,3258.0760869565215,4527.067734388246,176.8755538938592,0.7420035683605761,1.0,0.35714285714285715,0.9857138613987061,0.9,0.6428571428571429,0.9430181719610617,0.5,0.7142857142857143,0.8906282622288584
34,4,0.05,450,3.0,3435.9565217391305,4535.703631718304,220.82340655925486,0.7410183143563656,1.0,0.35714285714285715,0.9867634186171989,0.9,0.6428571428571429,0.962048155657137,0.5,0.7142857142857143,0.8855880483356173
35,7,0.08,650,6.0,3363.2065217391305,4679.9647515859515,209.03810795492026,0.7242821530828504,1.0,0.35714285714285715,0.9893699872871182,0.9,0.6428571428571429,0.9607075071183494,0.55,0.7857142857142857,0.8765135682334446
36,8,0.1,800,5.0,3380.445652173913,4854.494984480654,172.9446322574415,0.7033339646626917,1.0,0.35714285714285715,0.8691278352292745,0.9,0.6428571428571429,0.905068697565888,0.55,0.7857142857142857,0.8454401349151212
37,5,0.1,250,5.0,3261.4239130434785,4439.634639050929,184.9379445586052,0.7518729131772495,1.0,0.35714285714285715,0.991740114933199,0.9,0.6428571428571429,0.9478716683696853,0.6,0.8571428571428571,0.9186110936174439
38,6,0.08,250,10.0,3744.5652173913045,4960.068596124541,211.60042997691846,0.6902901059510345,1.0,0.35714285714285715,0.9715645365624784,0.9,0.6428571428571429,0.9602231714578134,0.5,0.7142857142857143,0.8727714386567627
39,6,0.05,250,5.0,3712.0760869565215,4902.528275199485,221.61434758432978,0.6974341360555607,1.0,0.35714285714285715,0.9510779076819003,0.9,0.6428571428571429,0.9374705667435376,0.6,0.8571428571428571,0.8927594764357205
40,8,0.02,450,5.0,3232.478260869565,4469.48768827616,198.99218034366478,0.7485247753048545,1.0,0.35714285714285715,0.9809389335177282,0.9,0.6428571428571429,0.9583518168091322,0.55,0.7857142857142857,0.895801184111626
41,8,0.1,650,12.0,3387.4347826086955,4773.311524826709,181.52286227847043,0.7131735007495585,1.0,0.35714285714285715,0.9874532705535269,0.9,0.6428571428571429,0.9583149006747635,0.55,0.7857142857142857,0.8724931145800086
42,4,0.08,650,6.0,3177.9347826086955,4694.417396829151,158.48105121003306,0.7225765824465069,1.0,0.35714285714285715,0.9392966186268603,0.9,0.6428571428571429,0.9313983071128094,0.55,0.7857142857142857,0.8758580802857625
43,6,0.05,500,2.0,3306.4021739130435,4765.032123848101,171.71284570971207,0.7141676500146967,1.0,0.35714285714285715,0.991740114933199,0.9,0.6428571428571429,0.9448964444416248,0.5,0.7142857142857143,0.8779092902317883
44,6,0.06,350,5.0,3195.6521739130435,4313.955790827879,193.72973350161337,0.765722222933155,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.946948743633315,0.55,0.7857142857142857,0.9091383794535466
45,7,0.1,500,2.0,2983.021739130435,4338.2887755427255,153.8378880817249,0.7630718689384208,1.0,0.35714285714285715,0.9816442051974019,1.0,0.7142857142857143,0.9672387562642822,0.55,0.7857142857142857,0.8818028596055605
