round,step,parameter,reason,depth,learning_rate,iterations,l2_leaf_reg,MAE,RMSE,MAPE,R2,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20
0,0,baseline,현재 1단계 분류기 설정,6,0.05,500,3.0,3266.3804347826085,4620.771586472093,176.3944131092382,0.7312127175869501,1.0,0.35714285714285715,0.9702863521932261,0.9,0.6428571428571429,0.9506220536532968,0.55,0.7857142857142857,0.882543610484531
1,1,depth,트리 깊이를 한 단계씩 바꿔 복잡도와 과적합 균형을 확인,5,0.05,500,3.0,3301.6195652173915,4560.94460920771,169.50155534422683,0.7381278522177539,1.0,0.35714285714285715,0.9818133749456817,0.9,0.6428571428571429,0.9546093499256687,0.5,0.7142857142857143,0.8807150115294977
1,2,depth,트리 깊이를 한 단계씩 바꿔 복잡도와 과적합 균형을 확인,7,0.05,500,3.0,3145.0,4448.20974003074,184.89498308699956,0.750913478527194,1.0,0.35714285714285715,0.9627440153286655,0.9,0.6428571428571429,0.9448741861196165,0.55,0.7857142857142857,0.8958031222314753
1,3,l2_leaf_reg,depth가 만드는 과적합을 규제로 보정,6,0.05,500,1.5,3352.6521739130435,4593.294732542208,193.04815637474732,0.7343998349260257,1.0,0.35714285714285715,0.9664453231426816,0.9,0.6428571428571429,0.9590097977189753,0.55,0.7857142857142857,0.8848349277354596
1,4,l2_leaf_reg,depth가 만드는 과적합을 규제로 보정,6,0.05,500,6.0,3167.717391304348,4430.468124741202,184.67645040706043,0.7528964714820457,1.0,0.35714285714285715,0.8975703805939207,0.9,0.6428571428571429,0.9134215687057061,0.55,0.7857142857142857,0.8610900405256097
1,5,learning_rate,learning_rate와 iterations는 반비례 관계라 먼저 보폭만 확인,6,0.03,500,3.0,2976.336956521739,4318.887425926507,163.0933795388994,0.7651862726524431,1.0,0.35714285714285715,0.9910303519447646,0.9,0.6428571428571429,0.9473669769061677,0.55,0.7857142857142857,0.9039171224862376
1,6,learning_rate,learning_rate와 iterations는 반비례 관계라 먼저 보폭만 확인,6,0.08,500,3.0,3265.0108695652175,4505.178741085689,175.3199495205532,0.7444924330310122,1.0,0.35714285714285715,0.9769151252590059,0.9,0.6428571428571429,0.952408696202046,0.6,0.8571428571428571,0.8918109079764438
1,7,iterations,learning_rate 변화와 연결되는 학습량을 단독 확인,6,0.05,350,3.0,3409.1195652173915,4658.307048096746,195.9094032432057,0.7268281544246793,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.9615312461122983,0.55,0.7857142857142857,0.8961563254877842
1,8,iterations,learning_rate 변화와 연결되는 학습량을 단독 확인,6,0.05,650,3.0,3261.2608695652175,4627.21843387392,182.25107328665803,0.7304621765253632,1.0,0.35714285714285715,0.9706279321643437,0.9,0.6428571428571429,0.9598115886592823,0.5,0.7142857142857143,0.8709883947192048
2,9,depth,트리 깊이를 한 단계씩 바꿔 복잡도와 과적합 균형을 확인,5,0.03,500,3.0,3225.0108695652175,4313.093665501748,206.26094339816476,0.7658158523687161,1.0,0.35714285714285715,0.9834316672154996,0.9,0.6428571428571429,0.9604763679974565,0.6,0.8571428571428571,0.9300404091707215
2,10,depth,트리 깊이를 한 단계씩 바꿔 복잡도와 과적합 균형을 확인,7,0.03,500,3.0,3060.6847826086955,4436.202014698766,160.17920881891823,0.7522564572667488,1.0,0.35714285714285715,0.9910303519447646,0.9,0.6428571428571429,0.9624456163148184,0.5,0.7142857142857143,0.8835094014285557
2,11,l2_leaf_reg,depth가 만드는 과적합을 규제로 보정,6,0.03,500,1.5,3361.782608695652,4518.869962626766,189.62607963479462,0.7429371001881468,1.0,0.35714285714285715,0.9879019568203272,0.9,0.6428571428571429,0.944610107664434,0.5,0.7142857142857143,0.877197889168676
