일자,방문인원수,counterfactual_visitors,difference
2020-01-01,1239,1818,579
2020-01-02,866,224,-642
2020-01-03,812,417,-395
2020-01-04,2059,1426,-633
2020-01-05,2721,1220,-1501
2020-01-06,466,722,256
2020-01-07,281,222,-59
2020-01-08,622,553,-69
2020-01-09,1282,482,-800
2020-01-10,786,555,-231
2020-01-11,1961,1251,-710
2020-01-12,2180,1166,-1014
2020-01-13,732,297,-435
2020-01-14,895,394,-501
2020-01-15,857,360,-497
2020-01-16,762,399,-363
2020-01-17,674,554,-120
2020-01-18,2425,1711,-714
2020-01-19,1539,1353,-186
2020-01-20,761,334,-427
2020-01-21,763,374,-389
2020-01-22,780,543,-237
2020-01-23,809,724,-85
2020-01-24,2041,2671,630
2020-01-25,3800,3338,-462
2020-01-26,4597,4601,4
2020-01-27,2236,2949,713
2020-01-28,925,5782,4857
2020-01-29,757,1863,1106
2020-01-30,2013,1625,-388
2020-01-31,628,1399,771
2020-02-01,1251,2145,894
2020-02-02,1142,1840,698
2020-02-03,521,412,-109
2020-02-04,480,485,5
2020-02-05,301,210,-91
2020-02-06,343,311,-32
2020-02-07,415,494,79
2020-02-08,1313,1946,633
2020-02-09,1484,1865,381
2020-02-10,760,604,-156
2020-02-11,987,1205,218
2020-02-12,278,540,262
2020-02-13,721,1090,369
2020-02-14,1049,1618,569
2020-02-15,3226,3617,391
2020-02-16,665,455,-210
2020-02-17,378,230,-148
2020-02-18,630,504,-126
2020-02-19,822,680,-142
2020-02-20,882,1004,122
2020-02-21,565,714,149
2020-02-22,791,1636,845
2020-02-23,1714,3508,1794
2020-02-24,519,1390,871
2020-02-25,77,1770,1693
2020-02-26,1275,2043,768
2020-02-27,687,2334,1647
2020-02-28,1210,2187,977
2020-02-29,1384,7801,6417
2020-03-01,1062,4781,3719
2020-03-02,566,5636,5070
2020-03-03,569,549,-20
2020-03-04,372,707,335
2020-03-05,585,643,58
2020-03-06,793,1233,440
2020-03-07,2138,10992,8854
2020-03-08,4584,13099,8515
2020-03-09,920,2247,1327
2020-03-10,134,0,-134
2020-03-11,1117,932,-185
2020-03-12,1212,1446,234
2020-03-13,907,895,-12
2020-03-14,3569,8931,5362
2020-03-15,2683,9810,7127
2020-03-16,869,559,-310
2020-03-17,596,1140,544
2020-03-18,1808,1682,-126
2020-03-19,178,1562,1384
2020-03-20,1569,1767,198
2020-03-21,5907,18499,12592
2020-03-22,7744,17109,9365
2020-03-23,1814,1485,-329
2020-03-24,1988,1857,-131
2020-03-25,1998,1718,-280
2020-03-26,1218,2390,1172
2020-03-27,1462,1609,147
2020-03-28,6187,12536,6349
2020-03-29,8822,13201,4379
2020-03-30,2259,1428,-831
2020-03-31,2794,2684,-110
2020-04-01,2319,3497,1178
2020-04-02,3075,2870,-205
2020-04-03,3217,3156,-61
2020-04-04,7813,14098,6285
2020-04-05,7693,14193,6500
2020-04-06,2561,3182,621
2020-04-07,2433,3446,1013
2020-04-08,2634,3373,739
2020-04-09,2197,3324,1127
2020-04-10,2567,4294,1727
2020-04-11,6481,16958,10477
2020-04-12,5717,16946,11229
2020-04-13,2404,4114,1710
2020-04-14,3468,4692,1224
2020-04-15,7392,4785,-2607
2020-04-16,2648,5369,2721
2020-04-17,222,1929,1707
2020-04-18,10325,19299,8974
2020-04-19,2892,4711,1819
2020-04-20,719,2567,1848
2020-04-21,1039,2833,1794
2020-04-22,499,2915,2416
2020-04-23,3011,3676,665
2020-04-24,1572,4665,3093
2020-04-25,7857,19031,11174
2020-04-26,12018,19703,7685
2020-04-27,2268,6123,3855
2020-04-28,2980,6662,3682
2020-04-29,4256,7090,2834
2020-04-30,16598,20273,3675
2020-05-01,15733,12170,-3563
2020-05-02,13597,20575,6978
2020-05-03,10559,19657,9098
2020-05-04,10000,8405,-1595
2020-05-05,25907,21302,-4605
2020-05-06,3458,6648,3190
2020-05-07,3846,6496,2650
2020-05-08,2263,3578,1315
2020-05-09,521,3367,2846
2020-05-10,6871,12255,5384
2020-05-11,1814,2912,1098
2020-05-12,1787,4472,2685
2020-05-13,2644,6676,4032
2020-05-14,2399,6522,4123
2020-05-15,222,3055,2833
2020-05-16,4834,9996,5162
2020-05-17,8875,18923,10048
2020-05-18,933,2098,1165
2020-05-19,608,2521,1913
2020-05-20,2859,6718,3859
2020-05-21,3040,7436,4396
2020-05-22,2567,6937,4370
2020-05-23,12038,18529,6491
2020-05-24,5990,7992,2002
2020-05-25,2649,6170,3521
2020-05-26,2091,5909,3818
2020-05-27,7943,7457,-486
2020-05-28,2829,7817,4988
2020-05-29,2511,8224,5713
2020-05-30,8157,17421,9264
2020-05-31,7746,14009,6263
2020-06-01,2419,6654,4235
2020-06-02,758,3517,2759
2020-06-03,1887,5704,3817
2020-06-04,1942,4903,2961
2020-06-05,2268,5372,3104
2020-06-06,9246,15322,6076
2020-06-07,8306,15324,7018
2020-06-08,1799,11627,9828
2020-06-09,1584,2814,1230
2020-06-10,1546,3258,1712
2020-06-11,1565,2724,1159
2020-06-12,1819,3328,1509
2020-06-13,4621,5964,1343
2020-06-14,6533,7425,892
2020-06-15,1793,2871,1078
2020-06-16,1702,2874,1172
2020-06-17,1693,2576,883
2020-06-18,3264,3060,-204
2020-06-19,1826,3095,1269
2020-06-20,6019,8751,2732
2020-06-21,5512,6439,927
2020-06-22,975,1229,254
2020-06-23,1341,1762,421
2020-06-24,259,1695,1436
2020-06-25,767,2358,1591
2020-06-26,9415,6311,-3104
2020-06-27,6844,12470,5626
2020-06-28,6639,8727,2088
2020-06-29,1703,2309,606
2020-06-30,658,5672,5014
2020-07-01,1726,3660,1934
2020-07-02,1617,1475,-142
2020-07-03,1699,1362,-337
2020-07-04,7165,4675,-2490
2020-07-05,7115,9965,2850
2020-07-06,1361,1520,159
2020-07-07,1566,1618,52
2020-07-08,1283,1386,103
2020-07-09,1276,1026,-250
2020-07-10,1563,1359,-204
2020-07-11,6522,5614,-908
2020-07-12,6632,4543,-2089
2020-07-13,166,0,-166
2020-07-14,1600,1186,-414
2020-07-15,1945,1863,-82
2020-07-16,1505,1688,183
2020-07-17,1382,1688,306
2020-07-18,6974,5412,-1562
2020-07-19,1990,2293,303
2020-07-20,777,1396,619
2020-07-21,1683,1903,220
2020-07-22,625,1538,913
