date,visitors,station_ride,station_alight,station_total
2015-01-01,1645.0,2270.0,2458.0,4728.0
2015-01-02,1329.0,4251.0,4411.0,8662.0
2015-01-03,3388.0,5639.0,6083.0,11722.0
2015-01-04,5327.0,5658.0,6287.0,11945.0
2015-01-05,1614.0,2784.0,2994.0,5778.0
2015-01-06,1274.0,3711.0,4066.0,7777.0
2015-01-07,1010.0,3412.0,3662.0,7074.0
2015-01-08,1632.0,3596.0,3886.0,7482.0
2015-01-09,1363.0,4448.0,4592.0,9040.0
2015-01-10,4895.0,7740.0,8465.0,16205.0
2015-01-11,4515.0,6011.0,6593.0,12604.0
2015-01-12,1200.0,2695.0,2892.0,5587.0
2015-01-13,1664.0,4815.0,5080.0,9895.0
2015-01-14,1746.0,4609.0,4857.0,9466.0
2015-01-15,3868.0,5247.0,5523.0,10770.0
2015-01-16,917.0,3670.0,3810.0,7480.0
2015-01-17,3341.0,7323.0,7879.0,15202.0
2015-01-18,3649.0,5897.0,6262.0,12159.0
2015-01-19,1219.0,2774.0,2973.0,5747.0
2015-01-20,1646.0,5097.0,5293.0,10390.0
2015-01-21,1698.0,4635.0,4860.0,9495.0
2015-01-22,1680.0,4694.0,4886.0,9580.0
2015-01-23,1692.0,5002.0,5202.0,10204.0
2015-01-24,7493.0,8968.0,9664.0,18632.0
2015-01-25,2864.0,4819.0,5178.0,9997.0
2015-01-26,1402.0,2584.0,2771.0,5355.0
2015-01-27,1508.0,4330.0,4468.0,8798.0
2015-01-28,1263.0,3435.0,3603.0,7038.0
2015-01-29,1261.0,3949.0,4174.0,8123.0
2015-01-30,2953.0,3714.0,3924.0,7638.0
2015-01-31,3256.0,6404.0,6930.0,13334.0
2015-02-01,5028.0,5301.0,5809.0,11110.0
2015-02-02,1671.0,2622.0,2907.0,5529.0
2015-02-03,1759.0,3740.0,4031.0,7771.0
2015-02-04,1588.0,4642.0,4931.0,9573.0
2015-02-05,1995.0,3900.0,4096.0,7996.0
2015-02-06,1401.0,4005.0,4254.0,8259.0
2015-02-07,4933.0,6136.0,6554.0,12690.0
2015-02-08,1328.0,2950.0,3379.0,6329.0
2015-02-09,593.0,1893.0,1987.0,3880.0
2015-02-10,1136.0,2893.0,3243.0,6136.0
2015-02-11,1403.0,3051.0,3256.0,6307.0
2015-02-12,1194.0,3126.0,3405.0,6531.0
2015-02-13,1102.0,3021.0,3274.0,6295.0
2015-02-14,3983.0,6268.0,6956.0,13224.0
2015-02-15,6625.0,5860.0,6018.0,11878.0
2015-02-16,437.0,1339.0,1561.0,2900.0
2015-02-17,952.0,2641.0,2814.0,5455.0
2015-02-18,2390.0,2941.0,3155.0,6096.0
2015-02-19,6572.0,4527.0,4458.0,8985.0
2015-02-20,15466.0,8899.0,9005.0,17904.0
2015-02-21,1794.0,3287.0,3581.0,6868.0
2015-02-22,3656.0,4312.0,4697.0,9009.0
2015-02-23,1341.0,2989.0,3121.0,6110.0
2015-02-24,2596.0,5094.0,5360.0,10454.0
2015-02-25,2900.0,5954.0,6076.0,12030.0
2015-02-26,2159.0,5117.0,5373.0,10490.0
2015-02-27,1663.0,5361.0,5452.0,10813.0
2015-02-28,5427.0,8312.0,8845.0,17157.0
2015-03-01,4109.0,5024.0,5419.0,10443.0
2015-03-02,1971.0,2425.0,2632.0,5057.0
2015-03-03,788.0,2207.0,2378.0,4585.0
2015-03-04,1158.0,2355.0,2622.0,4977.0
2015-03-05,1237.0,2666.0,2911.0,5577.0
2015-03-06,2095.0,3114.0,3402.0,6516.0
2015-03-07,19698.0,9704.0,10215.0,19919.0
2015-03-08,26998.0,9467.0,9685.0,19152.0
2015-03-09,1357.0,2192.0,2383.0,4575.0
2015-03-10,686.0,2066.0,2366.0,4432.0
2015-03-11,1133.0,2588.0,2803.0,5391.0
2015-03-12,1663.0,2975.0,3230.0,6205.0
2015-03-13,2198.0,3345.0,3524.0,6869.0
2015-03-14,24769.0,12122.0,12926.0,25048.0
2015-03-15,30688.0,10424.0,10894.0,21318.0
2015-03-16,3557.0,3244.0,3434.0,6678.0
2015-03-17,2687.0,3717.0,3960.0,7677.0
2015-03-18,873.0,2525.0,2736.0,5261.0
2015-03-19,4040.0,4310.0,4545.0,8855.0
2015-03-20,4363.0,4884.0,5088.0,9972.0
2015-03-21,30584.0,15472.0,16388.0,31860.0
2015-03-22,19807.0,10659.0,11019.0,21678.0
2015-03-23,2158.0,2809.0,2987.0,5796.0
2015-03-24,2405.0,3436.0,3759.0,7195.0
2015-03-25,3548.0,3974.0,4252.0,8226.0
2015-03-26,3716.0,4349.0,4684.0,9033.0
2015-03-27,4904.0,5378.0,5595.0,10973.0
2015-03-28,34237.0,16724.0,17619.0,34343.0
2015-03-29,20914.0,9735.0,10068.0,19803.0
2015-03-30,4041.0,3926.0,4212.0,8138.0
2015-03-31,4708.0,3129.0,3333.0,6462.0
2015-04-01,4100.0,4896.0,5196.0,10092.0
2015-04-02,3288.0,4615.0,5074.0,9689.0
2015-04-03,4976.0,7235.0,7390.0,14625.0
2015-04-04,29485.0,17259.0,18173.0,35432.0
2015-04-05,8446.0,6562.0,6804.0,13366.0
2015-04-06,4590.0,4664.0,4885.0,9549.0
2015-04-07,3820.0,5342.0,5629.0,10971.0
2015-04-08,3820.0,7632.0,8075.0,15707.0
2015-04-09,8439.0,8742.0,9200.0,17942.0
2015-04-10,14950.0,15462.0,15719.0,31181.0
2015-04-11,50872.0,38540.0,39935.0,78475.0
2015-04-12,50027.0,31190.0,31682.0,62872.0
2015-04-13,6356.0,6831.0,7070.0,13901.0
2015-04-14,1630.0,2997.0,3325.0,6322.0
2015-04-15,9467.0,9684.0,10130.0,19814.0
2015-04-16,4420.0,5337.0,5630.0,10967.0
2015-04-17,13393.0,9871.0,10367.0,20238.0
2015-04-18,40841.0,21776.0,23276.0,45052.0
2015-04-19,2187.0,4336.0,4478.0,8814.0
2015-04-20,3361.0,2662.0,2950.0,5612.0
2015-04-21,12393.0,7604.0,7963.0,15567.0
2015-04-22,8329.0,5579.0,5854.0,11433.0
2015-04-23,11397.0,6211.0,6632.0,12843.0
2015-04-24,15405.0,9338.0,9797.0,19135.0
2015-04-25,36537.0,19750.0,20584.0,40334.0
2015-04-26,37836.0,16391.0,16942.0,33333.0
2015-04-27,6844.0,5157.0,5355.0,10512.0
2015-04-28,17847.0,6493.0,6741.0,13234.0
2015-04-29,3503.0,5105.0,5239.0,10344.0
2015-04-30,13808.0,12803.0,13002.0,25805.0
2015-05-01,38675.0,28142.0,28391.0,56533.0
2015-05-02,40013.0,20959.0,21696.0,42655.0
2015-05-03,8878.0,6729.0,6836.0,13565.0
2015-05-04,32602.0,19745.0,20058.0,39803.0
2015-05-05,63382.0,32390.0,32821.0,65211.0
2015-05-06,8103.0,9857.0,9916.0,19773.0
2015-05-07,9464.0,9807.0,9985.0,19792.0
2015-05-08,12832.0,20056.0,19785.0,39841.0
2015-05-09,21821.0,16101.0,16454.0,32555.0
2015-05-10,25671.0,14167.0,14340.0,28507.0
2015-05-11,4174.0,3716.0,3967.0,7683.0
2015-05-12,6458.0,5227.0,5475.0,10702.0
2015-05-13,12955.0,12229.0,12521.0,24750.0
2015-05-14,15755.0,14670.0,14696.0,29366.0
2015-05-15,20641.0,20394.0,20909.0,41303.0
2015-05-16,27662.0,16436.0,17815.0,34251.0
2015-05-17,29381.0,14364.0,14658.0,29022.0
2015-05-18,5822.0,5107.0,5273.0,10380.0
2015-05-19,6119.0,5077.0,5467.0,10544.0
2015-05-20,8501.0,7315.0,7548.0,14863.0
2015-05-21,11231.0,8351.0,8610.0,16961.0
2015-05-22,19733.0,19304.0,19080.0,38384.0
2015-05-23,30136.0,19212.0,20392.0,39604.0
2015-05-24,46010.0,24927.0,25385.0,50312.0
2015-05-25,40511.0,22108.0,22490.0,44598.0
2015-05-26,7807.0,5956.0,6192.0,12148.0
2015-05-27,9099.0,8064.0,8261.0,16325.0
2015-05-28,10638.0,7984.0,8263.0,16247.0
2015-05-29,42070.0,10608.0,10690.0,21298.0
2015-05-30,12754.0,10120.0,11042.0,21162.0
2015-05-31,24556.0,13662.0,14166.0,27828.0
2015-06-01,6914.0,5158.0,5472.0,10630.0
2015-06-02,11912.0,6040.0,6357.0,12397.0
2015-06-03,4606.0,4301.0,4528.0,8829.0
2015-06-04,2934.0,3629.0,3893.0,7522.0
2015-06-05,2046.0,2942.0,3147.0,6089.0
2015-06-06,8789.0,6825.0,7580.0,14405.0
2015-06-07,7158.0,5354.0,5755.0,11109.0
2015-06-08,2572.0,2628.0,2840.0,5468.0
2015-06-09,2962.0,3211.0,3475.0,6686.0
2015-06-10,3963.0,3197.0,3411.0,6608.0
2015-06-11,2104.0,2886.0,3140.0,6026.0
2015-06-12,3944.0,3270.0,3500.0,6770.0
2015-06-13,6429.0,5291.0,6001.0,11292.0
2015-06-14,6777.0,4421.0,4660.0,9081.0
2015-06-15,2181.0,2613.0,2807.0,5420.0
2015-06-16,1982.0,2900.0,3144.0,6044.0
2015-06-17,2367.0,2749.0,3006.0,5755.0
2015-06-18,2136.0,3114.0,3404.0,6518.0
2015-06-19,2211.0,3248.0,3569.0,6817.0
2015-06-20,2320.0,2889.0,3164.0,6053.0
2015-06-21,10655.0,6555.0,7074.0,13629.0
2015-06-22,2727.0,3304.0,3610.0,6914.0
2015-06-23,2619.0,3904.0,4149.0,8053.0
2015-06-24,2468.0,3894.0,4163.0,8057.0
2015-06-25,2377.0,3696.0,3990.0,7686.0
2015-06-26,1330.0,2790.0,2937.0,5727.0
2015-06-27,10998.0,8237.0,9070.0,17307.0
2015-06-28,10008.0,7075.0,7531.0,14606.0
2015-06-29,2422.0,3400.0,3677.0,7077.0
2015-06-30,1838.0,3457.0,3707.0,7164.0
2015-07-01,2516.0,3898.0,4217.0,8115.0
2015-07-02,2860.0,3928.0,4259.0,8187.0
2015-07-03,3013.0,4089.0,4370.0,8459.0
2015-07-04,11378.0,8006.0,8727.0,16733.0
2015-07-05,11117.0,6632.0,6889.0,13521.0
2015-07-06,2517.0,3411.0,3623.0,7034.0
2015-07-07,2905.0,4072.0,4390.0,8462.0
2015-07-08,2905.0,3790.0,4103.0,7893.0
2015-07-09,2551.0,4534.0,4758.0,9292.0
2015-07-10,2840.0,4416.0,4713.0,9129.0
2015-07-11,6456.0,7625.0,8227.0,15852.0
2015-07-12,1568.0,2685.0,2835.0,5520.0
2015-07-13,606.0,1558.0,1796.0,3354.0
2015-07-14,2819.0,5848.0,6015.0,11863.0
2015-07-15,2347.0,4685.0,4922.0,9607.0
2015-07-16,3116.0,4845.0,5234.0,10079.0
2015-07-17,3258.0,5471.0,5651.0,11122.0
2015-07-18,11538.0,8425.0,9278.0,17703.0
2015-07-19,10445.0,6828.0,6944.0,13772.0
