file,encoding,daegongwon_rows
CARD_SUBWAY_MONTH_2015.csv,cp949,365
CARD_SUBWAY_MONTH_2016.csv,cp949,366
CARD_SUBWAY_MONTH_2017.csv,cp949,365
CARD_SUBWAY_MONTH_2018.csv,cp949,365
CARD_SUBWAY_MONTH_2019.csv,cp949,365
CARD_SUBWAY_MONTH_2020.csv,cp949,366
CARD_SUBWAY_MONTH_2021.csv,cp949,365
CARD_SUBWAY_MONTH_2022.csv,cp949,365
CARD_SUBWAY_MONTH_202301.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202302.csv,utf-8-sig,28
CARD_SUBWAY_MONTH_202303.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202304.csv,utf-8-sig,30
CARD_SUBWAY_MONTH_202305.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202306.csv,utf-8-sig,30
CARD_SUBWAY_MONTH_202307.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202308.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202309.csv,utf-8-sig,30
CARD_SUBWAY_MONTH_202310.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202311.csv,utf-8-sig,30
CARD_SUBWAY_MONTH_202312.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202401.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202402.csv,cp949,29
CARD_SUBWAY_MONTH_202403.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202404.csv,utf-8-sig,30
CARD_SUBWAY_MONTH_202405.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202406.csv,utf-8-sig,30
CARD_SUBWAY_MONTH_202407.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202408.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202409.csv,utf-8-sig,30
CARD_SUBWAY_MONTH_202410.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202411.csv,utf-8-sig,30
CARD_SUBWAY_MONTH_202412.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202501.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202502.csv,cp949,28
CARD_SUBWAY_MONTH_202503.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202504.csv,utf-8-sig,30
CARD_SUBWAY_MONTH_202505.csv,utf-8-sig,31
CARD_SUBWAY_MONTH_202506.csv,utf-8-sig,30
CARD_SUBWAY_MONTH_202507.csv,utf-8-sig,31
