group,feature,N,pearson,spearman,abs_spearman
traffic_past,station_alight_lag1,3759,0.5758,0.6216,0.6216
traffic_past,station_total_lag1,3759,0.5784,0.6203,0.6203
traffic_past,station_alight_lag7,3747,0.526,0.6187,0.6187
traffic_past,station_total_lag7,3747,0.5267,0.6175,0.6175
traffic_past,station_alight_lag364,3295,0.5192,0.6121,0.6121
traffic_past,station_total_lag364,3295,0.52,0.6108,0.6108
traffic_past,station_total_rolling7_past,3741,0.4915,0.6,0.6
traffic_past,station_alight_rolling7_past,3741,0.49,0.5994,0.5994
traffic_past,station_alight_same_weekday_4w_avg,3748,0.5351,0.5954,0.5954
traffic_past,station_total_same_weekday_4w_avg,3748,0.5355,0.5946,0.5946
traffic_past,station_total_rolling14_past,3720,0.4786,0.5884,0.5884
traffic_past,station_alight_rolling14_past,3720,0.4778,0.5883,0.5883
traffic_past,station_alight_lag14,3733,0.474,0.5664,0.5664
traffic_past,station_total_lag14,3733,0.474,0.5651,0.5651
traffic_past,station_alight_lag365,3294,0.5049,0.536,0.536
traffic_past,station_total_lag365,3294,0.5061,0.535,0.535
traffic_past,station_total_rolling30_past,3672,0.4465,0.5311,0.5311
traffic_past,station_alight_rolling30_past,3672,0.4457,0.531,0.531
traffic_past,station_alight_lag28,3705,0.3512,0.4077,0.4077
traffic_past,station_total_lag28,3705,0.3509,0.4061,0.4061
traffic_past,station_alight_lag3,3755,0.2336,0.3911,0.3911
traffic_past,station_total_lag3,3755,0.237,0.3909,0.3909
traffic_today_not_safe,station_alight,3762,0.8196,0.8253,0.8253
traffic_today_not_safe,station_total,3762,0.8229,0.8247,0.8247
traffic_today_not_safe,station_ride,3762,0.8255,0.8236,0.8236
weather_actual,comfort_distance_18c,3762,-0.4178,-0.5939,0.5939
weather_actual,too_cold,3762,-0.2973,-0.4501,0.4501
weather_actual,avg_temp,3762,0.1978,0.2654,0.2654
weather_actual,rain_mm,3762,-0.1163,-0.2259,0.2259
weather_actual,rain_flag,3762,-0.1601,-0.2128,0.2128
weather_actual,heavy_rain_flag,3762,-0.1147,-0.1784,0.1784
weather_actual,too_hot,3762,-0.1291,-0.1633,0.1633
