round,step,parameter,reason,depth,learning_rate,iterations,l2_leaf_reg,min_data_in_leaf,random_strength,MAE,RMSE,MAPE,R2,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20
0,0,baseline,현재 결측값 보정 모델 설정,6,0.05,700,5.0,5,1.0,3225.0108695652175,4313.093665501748,206.26094339816476,0.7658158523687161,1.0,0.35714285714285715,0.9834316672154996,0.9,0.6428571428571429,0.9604763679974565,0.6,0.8571428571428571,0.9300404091707215
1,1,depth,결측 보정 모델 복잡도를 한 단계씩 조절,5,0.05,700,5.0,5,1.0,3340.445652173913,4546.339563199503,201.2205469888235,0.7398022997033509,1.0,0.35714285714285715,0.9834316672154996,0.9,0.6428571428571429,0.9448906588672847,0.5,0.7142857142857143,0.8847407618568099
1,2,depth,결측 보정 모델 복잡도를 한 단계씩 조절,7,0.05,700,5.0,5,1.0,3395.282608695652,4544.541795432712,209.89098523802298,0.7400080399677964,1.0,0.35714285714285715,0.9796314576246343,0.9,0.6428571428571429,0.9447677277082399,0.55,0.7857142857142857,0.9060441890520156
1,3,l2_leaf_reg,트리 복잡도에 대한 규제 강도 조절,6,0.05,700,2.5,5,1.0,3203.9347826086955,4365.827696813157,190.74067878215695,0.7600543407724405,1.0,0.35714285714285715,0.9867634186171989,0.9,0.6428571428571429,0.9472597687228291,0.55,0.7857142857142857,0.8993163847756502
1,4,l2_leaf_reg,트리 복잡도에 대한 규제 강도 조절,6,0.05,700,10.0,5,1.0,3191.7934782608695,4569.851770738493,183.7913898904786,0.7371040225724701,1.0,0.35714285714285715,0.9305123483910077,0.9,0.6428571428571429,0.9487174088818277,0.55,0.7857142857142857,0.8931234410543278
1,5,learning_rate,learning_rate와 iterations 관계를 고려해 보폭 조절,6,0.03,700,5.0,5,1.0,3000.554347826087,4369.405811011876,172.81528318929873,0.7596608736668939,1.0,0.35714285714285715,0.9769151252590059,0.8,0.5714285714285714,0.9309733985919243,0.55,0.7857142857142857,0.895033194622001
1,6,learning_rate,learning_rate와 iterations 관계를 고려해 보폭 조절,6,0.08,700,5.0,5,1.0,3508.228260869565,4740.735293133885,219.010202245569,0.7170751286090318,1.0,0.35714285714285715,0.9330708546536186,0.9,0.6428571428571429,0.9311089495244212,0.5,0.7142857142857143,0.8730077157600026
1,7,iterations,학습량을 줄이거나 늘려 보정 안정성 확인,6,0.05,500,5.0,5,1.0,3258.9021739130435,4338.192051043744,201.4804150792791,0.7630824337027722,1.0,0.35714285714285715,0.9645286064090903,0.9,0.6428571428571429,0.9580013541500747,0.5,0.7142857142857143,0.8845749346928058
1,8,iterations,학습량을 줄이거나 늘려 보정 안정성 확인,6,0.05,900,5.0,5,1.0,3210.7065217391305,4467.112172650635,180.79643968659843,0.748792020507827,1.0,0.35714285714285715,0.943357221088819,0.9,0.6428571428571429,0.9306461881390445,0.5,0.7142857142857143,0.8744119040990312
1,9,min_data_in_leaf,leaf 최소 표본 수로 과적합과 세밀함 균형 확인,6,0.05,700,5.0,3,1.0,3225.0108695652175,4313.093665501748,206.26094339816476,0.7658158523687161,1.0,0.35714285714285715,0.9834316672154996,0.9,0.6428571428571429,0.9604763679974565,0.6,0.8571428571428571,0.9300404091707215
1,10,min_data_in_leaf,leaf 최소 표본 수로 과적합과 세밀함 균형 확인,6,0.05,700,5.0,10,1.0,3225.0108695652175,4313.093665501748,206.26094339816476,0.7658158523687161,1.0,0.35714285714285715,0.9834316672154996,0.9,0.6428571428571429,0.9604763679974565,0.6,0.8571428571428571,0.9300404091707215
1,11,random_strength,분기 선택 무작위성으로 보정값 과적합 완화 확인,6,0.05,700,5.0,5,0.5,3035.021739130435,4311.003734126448,174.17163843019486,0.7660427476128632,1.0,0.35714285714285715,0.9824765742375269,0.9,0.6428571428571429,0.9597972296361964,0.5,0.7142857142857143,0.8870992964830463
1,12,random_strength,분기 선택 무작위성으로 보정값 과적합 완화 확인,6,0.05,700,5.0,5,2.0,3272.5,4610.736772681404,203.42977222450938,0.7323788871429058,1.0,0.35714285714285715,0.9879019568203272,0.9,0.6428571428571429,0.9451424676833123,0.5,0.7142857142857143,0.8650355041775876
