step,depth,learning_rate,iterations,l2_leaf_reg,MAE,RMSE,MAPE,R2,Precision@5,Recall@5,NDCG@5,Precision@10,Recall@10,NDCG@10,Precision@20,Recall@20,NDCG@20
1,6,0.1,600,8.0,3191.358695652174,4794.845143031438,144.7340625547901,0.7105797693434075,1.0,0.35714285714285715,0.9646016786298508,0.8,0.5714285714285714,0.9229430645569593,0.55,0.7857142857142857,0.8763637258729063
2,5,0.1,600,10.0,3238.836956521739,4597.42491604764,177.2340446490044,0.7339219772343297,1.0,0.35714285714285715,0.9706279321643437,0.8,0.5714285714285714,0.9353575324282163,0.55,0.7857142857142857,0.8942752389322104
3,9,0.04,800,15.0,3329.478260869565,4599.157359021702,207.88798992373168,0.7337214076276481,1.0,0.35714285714285715,0.9867634186171989,0.9,0.6428571428571429,0.9628454778530009,0.6,0.8571428571428571,0.9242339862671758
4,8,0.08,600,15.0,3274.3152173913045,4726.194345256068,206.50895128848538,0.7188080608479601,1.0,0.35714285714285715,0.9510779076819003,0.9,0.6428571428571429,0.9218708683908271,0.6,0.8571428571428571,0.8992943251087437
5,8,0.06,600,5.0,3223.6304347826085,4490.649650396777,181.89175942744967,0.7461377868777699,1.0,0.35714285714285715,0.9472730440256365,0.9,0.6428571428571429,0.9347650407602788,0.55,0.7857142857142857,0.878914491544493
6,5,0.06,400,3.0,2709.6739130434785,4438.819704557194,94.43359598667489,0.7519639966919268,1.0,0.35714285714285715,0.9706279321643437,0.9,0.6428571428571429,0.9599995384548227,0.55,0.7857142857142857,0.8878366735960003
7,8,0.02,1200,2.0,3039.554347826087,4401.129352346617,163.3847608109522,0.756158298449379,1.0,0.35714285714285715,0.9786849798212441,0.9,0.6428571428571429,0.9541742571435725,0.55,0.7857142857142857,0.9000729100582464
8,8,0.1,400,5.0,3261.717391304348,4369.5617156594235,196.906879601103,0.7596437222935098,1.0,0.35714285714285715,0.9867634186171989,0.9,0.6428571428571429,0.9616967342602631,0.6,0.8571428571428571,0.9189502308043251
9,10,0.02,1200,5.0,3563.8152173913045,4824.234130476274,226.06880887441702,0.707021016382456,1.0,0.35714285714285715,0.9867634186171989,0.9,0.6428571428571429,0.946099724055273,0.55,0.7857142857142857,0.9033749501980235
10,8,0.04,400,15.0,3247.0652173913045,4535.726941880909,193.7305810744312,0.7410156524008202,1.0,0.35714285714285715,0.9747566417980538,0.9,0.6428571428571429,0.9508738624693244,0.5,0.7142857142857143,0.8812263723190117
11,7,0.05,1200,8.0,2915.2608695652175,4357.307148567395,144.51028026337985,0.7609900046000806,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.9620887191207789,0.55,0.7857142857142857,0.8801592377983222
12,5,0.02,400,5.0,2999.8804347826085,4383.642305058164,191.73067993552309,0.7580921657768056,1.0,0.35714285714285715,0.9979658789064407,0.9,0.6428571428571429,0.9626593275743208,0.5,0.7142857142857143,0.891654142939048
13,9,0.1,800,3.0,3113.2934782608695,4530.398395236915,178.21684789922566,0.7416238016919046,1.0,0.35714285714285715,0.9668782285731193,0.9,0.6428571428571429,0.931424880976173,0.5,0.7142857142857143,0.8592535265259607
14,8,0.04,400,5.0,3252.532608695652,4480.441800566197,196.6718902282806,0.7472906009536684,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.9614470452495624,0.55,0.7857142857142857,0.8918055218167251
15,9,0.02,1200,3.0,3167.663043478261,4448.961953915914,193.22770648191047,0.7508292279215383,1.0,0.35714285714285715,0.9800318934030322,0.9,0.6428571428571429,0.9572615672221195,0.55,0.7857142857142857,0.906675960669338
16,10,0.06,1000,10.0,3736.9239130434785,4996.1421192843345,244.51552754648404,0.6857688160548356,1.0,0.35714285714285715,0.9979658789064407,0.9,0.6428571428571429,0.9633010014455373,0.55,0.7857142857142857,0.892682681209674
17,5,0.02,400,10.0,3363.7065217391305,4825.565059275892,207.52550677565765,0.7068593376808331,1.0,0.35714285714285715,0.9867634186171989,0.9,0.6428571428571429,0.9623384081314796,0.5,0.7142857142857143,0.8863311734300804
18,7,0.05,1000,8.0,2897.728260869565,4328.156713037167,148.25700888434594,0.7641772667088162,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.946503009990607,0.55,0.7857142857142857,0.8811715933930802
19,5,0.06,800,2.0,3183.108695652174,4767.02508179208,145.82132949937963,0.7139285032617753,1.0,0.35714285714285715,0.991740114933199,0.9,0.6428571428571429,0.9467552262478408,0.55,0.7857142857142857,0.889542947191098
20,7,0.03,800,10.0,3141.1304347826085,4524.35631021023,178.67750087161755,0.742312522550979,1.0,0.35714285714285715,0.9860581469375251,0.9,0.6428571428571429,0.9610395881088875,0.55,0.7857142857142857,0.9057062024361439
21,8,0.03,1200,2.0,2893.5108695652175,4393.628975697306,155.4099158287812,0.7569886972194889,1.0,0.35714285714285715,0.9655382830279855,0.9,0.6428571428571429,0.9554530563261501,0.55,0.7857142857142857,0.8965390908640548
22,8,0.1,1000,3.0,3033.086956521739,4376.281645812831,186.21953821565756,0.7589038680516019,1.0,0.35714285714285715,0.991740114933199,0.9,0.6428571428571429,0.9623409353780127,0.6,0.8571428571428571,0.906782150839021
23,5,0.1,1200,15.0,2774.445652173913,4431.324310102382,95.98513521677822,0.7528009570305706,1.0,0.35714285714285715,0.9879019568203272,0.8,0.5714285714285714,0.9246495304682429,0.6,0.8571428571428571,0.9014481060611358
24,6,0.02,800,8.0,3154.25,4385.090414763666,174.5482202567785,0.7579323138000995,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.9620887191207789,0.5,0.7142857142857143,0.8908261613957114
25,10,0.08,1200,5.0,3608.032608695652,5231.945310136649,234.93811794319723,0.6554072741335307,1.0,0.35714285714285715,0.9638596628803353,0.9,0.6428571428571429,0.9320527429134816,0.6,0.8571428571428571,0.9120704448948934
26,5,0.06,400,15.0,3022.891304347826,4585.374424046051,148.25396615797325,0.7353150044052675,1.0,0.35714285714285715,0.9905284365423528,0.9,0.6428571428571429,0.9620887191207789,0.5,0.7142857142857143,0.8853439058324517
27,5,0.08,400,10.0,3170.836956521739,4781.367460620263,150.101600949863,0.7122045274482717,1.0,0.35714285714285715,0.991740114933199,0.9,0.6428571428571429,0.9469099982339293,0.5,0.7142857142857143,0.8788312639311122
28,9,0.04,1200,8.0,3123.586956521739,4464.784251567311,179.69889348357606,0.7490537734947169,1.0,0.35714285714285715,0.9800318934030322,0.9,0.6428571428571429,0.9569101458252457,0.55,0.7857142857142857,0.9028824547738734
29,10,0.08,1000,5.0,3569.413043478261,5163.372166562738,238.2419111718961,0.6643809738079046,1.0,0.35714285714285715,0.9797281590138133,0.9,0.6428571428571429,0.9347216989452632,0.6,0.8571428571428571,0.9130779098242947
30,5,0.06,1000,5.0,3592.5652173913045,4957.886650930845,183.90006914358875,0.690562530158604,1.0,0.35714285714285715,0.991740114933199,0.8,0.5714285714285714,0.9273787311546159,0.55,0.7857142857142857,0.8880784067583166
31,9,0.04,1000,2.0,3305.9891304347825,4716.432389967064,175.92377607964812,0.7199684652053455,1.0,0.35714285714285715,0.9857138613987061,0.9,0.6428571428571429,0.9435252416825829,0.5,0.7142857142857143,0.8690193905362361
32,7,0.03,800,5.0,2927.4565217391305,4326.1982758236045,152.98492324589222,0.7643906321472472,1.0,0.35714285714285715,0.991740114933199,0.9,0.6428571428571429,0.9622773334594212,0.55,0.7857142857142857,0.8889580606417645
33,10,0.04,600,3.0,3459.804347826087,4940.010213860238,217.08856587806957,0.6927899577903025,1.0,0.35714285714285715,0.9702863521932261,0.9,0.6428571428571429,0.9505967633559396,0.6,0.8571428571428571,0.9052907199998039
34,8,0.08,800,8.0,3029.445652173913,4369.176968312771,173.7381271946859,0.7596860479887453,1.0,0.35714285714285715,0.9879019568203272,0.9,0.6428571428571429,0.9602211070919628,0.55,0.7857142857142857,0.8789335015324471
35,9,0.1,400,2.0,2910.978260869565,4340.4693469916265,154.80853058872964,0.7628336328112912,1.0,0.35714285714285715,0.9712425382722156,0.9,0.6428571428571429,0.9513019692863518,0.55,0.7857142857142857,0.8947153275032687
36,10,0.05,600,3.0,3550.5108695652175,5092.844215811214,215.90435877581086,0.6734869844679079,1.0,0.35714285714285715,0.9678204270448977,0.9,0.6428571428571429,0.9310111783450534,0.6,0.8571428571428571,0.9113265878227028
37,5,0.08,600,15.0,3046.467391304348,4709.220168756828,150.39712645457732,0.7208242413579642,1.0,0.35714285714285715,0.991740114933199,0.9,0.6428571428571429,0.947262295969362,0.55,0.7857142857142857,0.9008883129069774
38,6,0.06,400,15.0,3325.9347826086955,4682.54077955269,173.98816978475728,0.7239785386762039,1.0,0.35714285714285715,0.9646016786298508,0.8,0.5714285714285714,0.9227551147614187,0.55,0.7857142857142857,0.8826426271402212
39,5,0.08,800,3.0,3583.1521739130435,5067.180525525104,181.46600105989978,0.6767694001986352,1.0,0.35714285714285715,0.991740114933199,0.8,0.5714285714285714,0.9356614514792178,0.5,0.7142857142857143,0.8736265485687206
40,7,0.08,400,2.0,2648.163043478261,4178.689019766013,123.87723847064146,0.7801837381304596,1.0,0.35714285714285715,0.9857138613987061,0.9,0.6428571428571429,0.9586652171700467,0.55,0.7857142857142857,0.8852267108109491
41,6,0.05,600,3.0,3005.1847826086955,4575.2934296492185,138.14266533717569,0.7364775506147219,1.0,0.35714285714285715,0.9834722685313941,0.8,0.5714285714285714,0.9293582379851361,0.55,0.7857142857142857,0.8858772098343798
42,8,0.05,400,8.0,3311.4891304347825,4604.639242584355,216.69264985657838,0.733086257289796,1.0,0.35714285714285715,0.9712425382722156,0.9,0.6428571428571429,0.9510117168120091,0.55,0.7857142857142857,0.899025444066014
